age,title,review_text,rating,recommended_ind,positive_feedback_count,division_name,department_name,class_name,sentiment,review_length,log_positive_feedback,age_group,est_rating,pred_sentiment,urgency,aspects,n_aspects
53,Love these tights!,"Just received first pair in brown...love them and ordered two more! these tights actually stay up and you don't have to keep pulling on them throughout the day. super comfortable and perfect weight, not too thick and not too thin. they will run, so be careful when washing or putting them on.",5,1,1,Initmates,Intimate,Legwear,Positive,52,0.6931471805599453,46-55,5,Positive,Low,fit:Positive; comfort:Positive; quality:Positive; color:Positive; care instructions:Negative,5
35,Great fit,"I saw this online and was pleased they had it in blue at the store. the blue is more of a gray, but it's a great color. i tried on the small and my daughter said ""you look pretty, mommy."" i was sold! i love the cascade on the side.",5,1,0,General,Tops,Fine gauge,Positive,50,0.0,26-35,5,Positive,Low,color:Positive; fit:Positive; quality:Positive,3
32,,"I usually do not buy dresses at full price but when i saw the teal version of this dress on the website i caved in and bought it. i had also tried the pink version of this dress in store. it's very cute and sweet but i don't think i can pull it off. the teal version is pretty accurate in color to the on screen image.

this dress runs huge. i usually wear a 6 or 8 in retailer dresses and went with a size 2 for this one. it fits comfortably without being too baggy or like a tent. the materi",5,1,0,General Petite,Dresses,Dresses,Positive,103,0.0,26-35,4,Positive,Low,color:Positive; fit:Positive; sizing:Negative; quality:Neutral,4
39,Gorgeous quality knit,"I was lucky enough to get a hold of this intarsia sweater dress after the sale and i wish i had purchased this the first time round. it is absolutely stunning, flattering, comfortable and unique! i am 5'3"" and the regular hem fit me just fine at the ankles. i think this dress runs both tts to a bit large so i would size down if your small framed and stay your usual if your busty or broad shouldered. perfectly complements my taupe booties that i already owned and a my taupe maxi sweater that has",5,1,0,General Petite,Dresses,Dresses,Positive,96,0.0,36-45,5,Positive,Low,fit:Positive; comfort:Positive; quality:Positive; style:Positive; sizing:Neutral,5
54,Perfect symmetry in lifesaver colors,"Just got these mara hoffman classic bikini bottoms in flight azure print.today and love them: high quality, fully lined and reversible. the pattern placement is perfectly symmetrical and the colors are just like the online photos.
.
i think the size chart on the mara hoffman site is correct for where the bottoms sit on my body, above the widest part. i have a a-shape with smaller waist and hips, full behind and thighs (currently 33-25-37ish, 38"" at the widest which is at my thighs). in these t",5,1,0,Initmates,Intimate,Swim,Positive,88,0.0,46-55,5,Positive,Low,quality:Positive; fit:Positive; color:Positive; sizing:Positive,4
51,Wonderful spring top,I was taking my time with this purchase i needed a top for a pair of ombrã© silk pants that i had tailored to fit. but everytime i put these pants on i couldn't find any top to come close to match..especially since the pants are for a more sophisticated look. well this top fits that perfectly and i'm excited to pair them for a nice dinner out. plus i was equally excited when i could pair the top with my jeans and sandals.,4,1,0,General,Tops,Knits,Positive,84,0.0,46-55,5,Positive,Low,fit:Positive; style:Positive,2
26,,"I absolutely love these capris. after reading the reviews, i thought that they may fit a bit snug through the thigh, but they fit perfectly. i am roughly a size six (depending on the design, i can sometimes squeeze into a 4). i bought the size 27 in these and its perfect. also, i thought that the green would be more of a mint, but its definitely a more of a mossy color. i love that they are so versatile and literally go with everything! will be getting more colors in the future! great buy!",5,1,1,General Petite,Bottoms,Pants,Positive,95,0.6931471805599453,26-35,5,Positive,Low,fit:Positive; sizing:Positive; color:Neutral; quality:Positive; price:Positive,5
37,Not white...,The design of these is adorable with the lace up ties however they are a dingy looking off white color. they are also pretty see through. returned.,3,0,0,General,Bottoms,Jeans,Neutral,27,0.0,36-45,2,Negative,Medium,design:Positive; color:Negative; quality:Negative; return process:Negative,4
33,,It's a beautiful top but not for bigger busts. ordered an xl and the top part would not button. i recommend for those with smaller busts.,2,1,0,General,Tops,Blouses,Negative,26,0.0,26-35,2,Negative,Medium,fit:Negative; quality:Positive,2
75,Disappointing,"I ordered this because the reviews were outstanding. i am returning it. although the embroidery looks fine on screen, in person it looks cheap and tacky. moreover, the high ruffled neck goes a step too far -- into over-the-top victorian cutesy.
overpriced, to boot.
obviously, mine is a minority opinion.",2,0,5,General,Tops,Blouses,Negative,50,1.791759469228055,55+,2,Negative,Medium,quality:Negative; design:Negative; price:Negative,3
39,Yummy mustard,"Love the gorgeous mustard/goldenrod shade but it's unflattering to my skintone (makes my olive-tan look more sallow). all the versions of the tied dresses that holding horses has come out with are fantastic in fit and flattering to the tummy. if you are busty/broad back/wide rib cage--size up. if you have generous hip/bum curves, give both your regular",5,1,0,General Petite,Dresses,Dresses,Positive,58,0.0,36-45,3,Neutral,Low,color:Positive; fit:Positive; sizing:Negative,3
74,,"Based on the other reviews, i sized down from my usual 6p to a 2p, but this dress was still ridiculously huge and extremely unflattering. i could tell the minute i took it out of the package it wouldn't work. i can't imagine this would flatter very many people. the front photo of the model is incredibly deceptive. very disappointed--this will be going back for sure.",2,0,0,General Petite,Dresses,Dresses,Negative,66,0.0,55+,1,Negative,High,sizing:Negative; fit:Negative; quality:Negative; design:Negative,4
41,Absolutely beautiful,Got the green one,5,1,0,General Petite,Tops,Blouses,Positive,4,0.0,36-45,3,Neutral,Low,,0
54,,Perfect spring transition piece-- saffron yellow but medium weight and breathable. this color is in for spring and the perfect blend for a not too warm cover up!,5,1,3,General Petite,Tops,Sweaters,Positive,28,1.3862943611198906,46-55,5,Positive,Low,color:Positive; weight:Positive; breathability:Positive,3
52,Dress it up or down,"The top of this dress is very flattering. there is a lot of fabric on the bottom half of dress. if you want something which hugs curves ,this is not it. however, one of the things i like about this dress is, it can be dressed up or down. i wore to a wedding and got several compliments. very comfortable",5,1,3,General,Dresses,Dresses,Positive,60,1.3862943611198906,46-55,4,Positive,Low,fit:Neutral; quality:Positive; style:Positive; comfort:Positive,4
25,,"Mine came smelling like gasoline. not sure why, but i would have kept it otherwise. it's a smell that will be really hard to get out. looks like the picture.",2,0,1,General,Trend,Trend,Negative,30,0.6931471805599453,<=25,2,Negative,Medium,quality:Negative; appearance:Positive,2
40,Spring colors and comfort,"I bought these pants in white and tan. they are comfortable and fit great.however, they tend to stretch. i just got them and they are already starting to become uncomfortably loose. i still really like them but i recommend you buy a little tight so they become comfortable.",3,1,1,General,Bottoms,Pants,Neutral,48,0.6931471805599453,36-45,4,Positive,Medium,fit:Positive; comfort:Positive; stretch:Negative,3
32,Too small,They were too small for me. i loved them other than that.,3,1,1,General Petite,Bottoms,Pants,Neutral,12,0.6931471805599453,26-35,3,Neutral,Medium,fit:Negative; quality:Positive,2
64,So adorable!,"I ordered my usual size s in the purple print. this peplum top style, colors/pattern will go easily with pretty much anything.. shorts, pants, jeans & skirts. wear for casual or dress it up. for me the fit is tts. armholes provide good coverage & length is fine. the top has a bit of stretch & doesn't feel restrictive. the waist is banded & a little loose which is fine. don't like tight fitting waists on tops. i like that the waist seems a little lower than other peplum tops at retailer. the skirt",5,1,12,General,Tops,Knits,Positive,94,2.5649493574615367,55+,5,Positive,Low,fit:Positive; color:Positive; quality:Positive; style:Positive; sizing:Positive,5
39,Very cute,"The sweater is thinner than i expected but very cute so i'm keeping it. it seems well made so i'm not expecting easy snags, it washed well.",4,1,1,General,Tops,Fine gauge,Positive,27,0.6931471805599453,36-45,4,Positive,Low,fit:Neutral; quality:Positive; design:Positive; washing:Positive,4
56,Perfection!,"I am wearing a bodysuit and long skirt from bhldn for my wedding, and i bought this skirt to change in to for my reception. it is perfectly elegant, yet simple. i cannot wait to wear it on my big day! it can be dressed up or down so easily! love it!",5,1,0,General,Bottoms,Skirts,Positive,52,0.0,55+,5,Positive,Low,fit:Positive; style:Positive; versatility:Positive,3
52,Beautiful quality but runs quite small,I would say that this blouse runs 1-2 sizes too small. the fabric is unique - it's like gauze backed by fine netting - and the workmanship is excellent.,4,1,2,General,Tops,Blouses,Positive,29,1.0986122886681098,46-55,3,Neutral,Medium,sizing:Negative; fabric:Positive; workmanship:Positive,3
49,Flight pattern tunic,I adore this top! it's comfortable and cute. the sleeve length is great for wearing bracelets. it's well-made. just perfect.,5,1,1,General Petite,Tops,Blouses,Positive,20,0.6931471805599453,46-55,5,Positive,Low,fit:Positive; quality:Positive; style:Positive; sleeve length:Positive,4
29,Better in person,"I tried on this dress in the store and was pleasantly surprised with the fit and the look. it looks way better in person than in the pictures. the picture really doesn't do it justice. i consider myself a ""slight"" hour glass figured girl and this dress at the top hit me just right so that the crosswrap looks like it was made for my body and the peephole/keyhole in the front (you can hardly see on the model photo) is visible. i'm so happy with this dress!!! i feel like i could wear it at work/chu",5,1,0,General Petite,Dresses,Dresses,Positive,97,0.0,26-35,5,Positive,Low,fit:Positive; look:Positive; quality:Positive,3
46,Pretty doily,"At 5'4"", i guess i am just too short to pull this dress off! the colors are so pretty for summer, but there is just too much fabric... i felt like i was wearing a giant doily! however, there is not a doubt in my mind that taller girls would look fabulous in this!",2,0,0,General,Dresses,Dresses,Negative,54,0.0,46-55,3,Neutral,Low,fit:Negative; color:Positive; quality:Negative,3
39,Like but did not keep,"I ordered this in xxs petite, and it fit nicely, the green color was nice, the cut was just above the knee, flattering, but not wow. it is nice if you need a casual dress to hang around, go to the beach, playground with kids, etc., but there were just better options for me. so i returned it. the size fit me well at 115 lbs, 30dd chest. i say go for it, if you need a nice soft casual dress, ok to size down.",4,1,4,General Petite,Dresses,Dresses,Positive,85,1.6094379124341005,36-45,3,Neutral,Low,fit:Positive; color:Positive; cut:Neutral; style:Neutral; return experience:Negative; sizing advice:Positive,6
46,Great color,Great color and fit and feminine,5,1,0,General Petite,Tops,Sweaters,Positive,6,0.0,46-55,5,Positive,Low,color:Positive; fit:Positive,2
57,,"The fabric is very nice and it is completely lined, except for the sleeves, which are sheer. i expected the dress to be lighter, so wearing this on a hot day won't work. i ordered an xs because of the former reviews it said it ran large and it does. it's roomy, straight, and quite flowy.  i wanted a casual non clinging dress and it's just like the picture. it hits below the knee.",5,1,2,General Petite,Dresses,Dresses,Positive,74,1.0986122886681098,55+,4,Positive,Low,fabric:Positive; lining:Positive; sleeves:Negative; weight:Negative; fit:Positive; style:Positive; length:Positive,7
56,Gorgeous colorway,"Perfect length and colors. i get asked where i got it on the reg, every time i wear it. mostly a casual vibe with flat sandals...",4,1,0,General,Dresses,Dresses,Positive,26,0.0,55+,5,Positive,Low,length:Positive; color:Positive; style:Positive,3
50,,"I initially purchased this shirt in the grey motif color, size l (my usual size, i'm 5'8"" size 14). unfortunately i found the shirt very roomy, but loved the pattern and style. so i ordered a medium and much to my surprise it fit much better. i'm very happy with my purchase.",5,1,1,General Petite,Tops,Blouses,Positive,52,0.6931471805599453,46-55,4,Positive,Low,fit:Negative; color:Positive; style:Positive; sizing:Positive,4
67,Great dress,"I bought this dress as a consolation prize when another dress i wanted didn't suit me. i was shocked by how flattering it was, because on the hanger it was just ""meh"". the material is soft jersey, heathered, and it hangs well. it has a simple lining, but that doesn't interfere with the fit. it is a little low for my personal taste, so i wear a cami or scarf, but for those less well endowed, you'd probably be fine without one. for the record, i typically wear a 2-4, 125 pounds, 5'8, and 32 ddd br",5,1,0,General,Dresses,Dresses,Positive,97,0.0,55+,4,Positive,Low,fit:Positive; material:Positive; style:Positive; sizing:Neutral,4
30,Perfect for summer nights,"I was very impressed upon receiving this dress. i'm 5'3, 102lbs and ordered xs. fit perfect. i am also a 32dd, so if you are smaller than a d or big c, the top portion might be a little big for you. love how it is lined so you could technically wear without a bra. i bought the tangerine and have gotten many complements.",5,1,0,General Petite,Dresses,Dresses,Positive,64,0.0,26-35,5,Positive,Low,fit:Positive; quality:Positive; color:Positive; sizing:Neutral,4
36,Comfy and stylish,"I purchased this jacket in a pxs, as i am 5'2"" and 110lbs. the sleeve length is perfect! the fabric is soft and lightweight, which is perfect for living in southern california. i don't feel any itchiness either. the rest of the jacket fits me perfectly and hits right at the top of my hips. 


there are two cute grommets on each side at the bottom by the hem, which add nicely to the look. i like how the sleeves are ribbed, giving it a comfy sweater feel. there's also two zippered pockets, whic",5,1,0,General,Tops,Sweaters,Positive,94,0.0,36-45,5,Positive,Low,fit:Positive; sleeve length:Positive; fabric:Positive; itchiness:Positive; design:Positive; pockets:Positive,6
39,Unflattering,The wash on these jeans made my hips look twice as big. that in combination with the looser boyfriend cut was not flattering. quality was excellent. denim was thick with the right amount of stretch. unfortunately they had to go back.,2,0,0,General,Bottoms,Jeans,Negative,41,0.0,36-45,2,Negative,Medium,fit:Negative; quality:Positive,2
39,Sweet dress naughty buttons,"Knitted & knotted are my new bff. their sweater dresses are amazing and i'm now tracking down sold out versions of their apparel to enhance my closet and have a party. i adore (and drool...just a lil bit) this dress. the colors and styling and warmth make me happy. i sized up to a l because of my linebacker shoulders/broad bust (thanks retailer user reviewers!) i am comfy as long as i don't flail or flap. my one teeny tiny little complaint is right out of the factory cellophane bag, i had a loose",5,1,0,General,Dresses,Dresses,Positive,94,0.0,36-45,4,Positive,Medium,fit:Positive; color:Positive; quality:Positive; sizing:Positive; delivery:Negative,5
31,Cute weekend top,"Not as pink as pictured online, definitely more of a pale peach. fits loose, so i'm glad i went with my normal size, or would seem boxy. cute top, and will wear it around town running errands..instead of my activewear!",5,1,0,General,Tops,Knits,Positive,40,0.0,26-35,4,Positive,Low,color:Negative; fit:Neutral; style:Positive,3
58,A wardrobe essential,"You must have this vest for your fall/winter wardrobe. the design is extremely flattering to the female curves. i love the feminine ruffles. the pockets are a bonus. the vest is vegan-friendly. a hundred percent polyester! i normally wear a medium, but the small size fits me better. as an artist, i like to wear with my red plaid retailer shirt. hurry and get this vest before they are sold out. i'm sick i missed out on the museum district vest. all the smalls were sold out. i hope my experie",5,1,0,General,Jackets,Outerwear,Positive,91,0.0,55+,5,Positive,Low,design:Positive; fit:Positive; quality:Positive; pockets:Positive; material:Positive; urgency:Positive,6
42,Dress for you and your whole family,"I really wished i had heeded the other reviews of this ""dress"". it is so ridiculously oversized i cannot imagine who this possibly would look good on. i ordered the sm/med and when i took it out of the package i thought i had accidentally been sent a bed sheet and said ""are you kidding me?!""  by the time you cinch the neckline so the fabric is somewhat close to your body the neckline is almost to your waist and you look 50 lbs heavier. horrible design retailer. i don't know which dress the",1,0,2,General Petite,Dresses,Dresses,Negative,94,1.0986122886681098,36-45,1,Negative,High,fit:Negative; design:Negative,2
20,Super cute and flattering too,"I love this sweater dress and get compliments every time i wear it.. i bought the navy in size xs. the pattern and colors are just fun and youthful, although you don't have to be young to look good in this dress. the dress is fitted, but the skirt flares, making it flattering if you have hips like me. the material is not too heavy so you can wear this 3 seasons fall, winter, spring. as other reviews have mentioned the dress is short. i am 5'9"" so it does hit well above my knees. this isn't an is",5,1,1,General,Dresses,Dresses,Positive,99,0.6931471805599453,<=25,4,Positive,Low,fit:Positive; color:Positive; quality:Positive; length:Negative,4
34,,The sleeves are a bit too voluminous and the solid color collar stands out a bit too much.  but it's a cute pattern and style.  very comfortable.,3,1,0,General Petite,Dresses,Dresses,Neutral,27,0.0,26-35,4,Positive,Low,fit:Negative; color:Negative; style:Positive; comfort:Positive,4
65,"So soft, thin knit","In the photo, this looks like a heavy knit top, but it's not. the fabric is very light, thin, and soft. it's like a knit nightgown material. i said this runs big b ecause i'm normally a size xl and i can wear this. it actually fits me a little less flowy than on the model and i think looks better. so, to me, you can size down if you want this not to have so much flowing fabric.

the front criss-crosses over and it will stay together at the top area with movement. the two fabric pieces sort of",5,1,2,General Petite,Tops,Knits,Positive,100,1.0986122886681098,55+,4,Positive,Low,fabric:Negative; fit:Positive; design:Positive,3
35,Wanted to love,"I've been looking for the perfect white eyelet maxi, feels like a perfect summer staple...but sadly this was not it. quality isn't great which is surprise on a $168 price tag. top of dress is lined but cheaply so it's somewhat see through. the dress was returned.",2,0,5,General,Dresses,Dresses,Negative,47,1.791759469228055,26-35,2,Negative,Medium,quality:Negative; price:Negative; fit:Negative,3
39,,Huge! normally wear a medium and this was huge and very unflattering.,2,0,0,General,Tops,Knits,Negative,12,0.0,36-45,2,Negative,Medium,fit:Negative; sizing:Negative,2
40,Love this dress!,"Super cute on.  i love the print and the tie detail and the fact that the tie actually tightened which makes the waste adjustable.    the slip is a tad tight, but it doesn't bother me, its stretchy so it's not uncomfortable.  i bought size xs-i usually wear a 2 in dresses.  i usually buy petite because of the length but this fell about 2"" above the knee on me which is perfect for work so i didn't need the petite.  i am 5'3"", 125 lbs.  i loved the soft fabric-fine for year round in southern cal.",5,1,0,General,Dresses,Dresses,Positive,96,0.0,36-45,5,Positive,Low,fit:Positive; color:Positive; quality:Positive; sizing:Positive; delivery:Neutral,5
44,Rules apply,"This dress is breathtaking in person: the back tie, the lace on the sides, the hem, the sleeves, the pleats at the chest, and the liner is opaque so it's not see-through. but it's very white, baby doll cut, and very short. in order to avoid the maternity, wedding-ish look, a few rules must be applied (thanks to retailer stylist ): buttons all the way up, a belt is a must to break the monotony of the all-over white and lace look. i purchased size 2 regular, and it still falls about 3 inches above m",5,1,2,General,Dresses,Dresses,Positive,96,1.0986122886681098,36-45,4,Positive,Medium,design:Positive; fit:Negative; length:Negative; color:Negative; quality:Positive,5
34,Perfect lightweight sweater!,I've worn this twice now and got a ton of compliments on it. it's so comfortable and looks great. the lavender color is gorgeous. highly recommend.,5,1,1,General,Tops,Fine gauge,Positive,26,0.6931471805599453,26-35,5,Positive,Low,comfort:Positive; color:Positive; appearance:Positive,3
38,Disappointing,Purchased this in two colors online. purchased in an xs - i am usually a s or xs. the fit was really large in the xs and the seam on the front of the top was in the wrong place and was really unflattering. returning both.,2,0,1,General Petite,Tops,Knits,Negative,46,0.6931471805599453,36-45,2,Negative,Medium,fit:Negative; quality:Negative,2
79,Houndstooth,"This an absolutely beautiful quality stylish coat but through no fault of the coat, i had to return it because i looked like a bear in it. i'm too short and too round around the middle for this type check and this type material. i wouldn't want to discourage anyone from trying it.",5,0,0,General Petite,Jackets,Outerwear,Positive,53,0.0,55+,4,Positive,Low,quality:Positive; style:Positive; fit:Negative,3
39,Gorgeous top,"So happy with this top. i love the fabric, the colors and the flowy fit!  definitely recommend!",5,1,0,General,Tops,Blouses,Positive,17,0.0,36-45,5,Positive,Low,fabric:Positive; color:Positive; fit:Positive,3
50,Great as a dress,"Have had a hard time finding comfy dresses appropriate but not too long for my 15 year old daughter. purchased this tunic in a regular xs and she loves it! she wore today with suede booties-very soft, cute and longer than many dresses sold for teens. she initially thought it was a winter sweater dress but i explained it is mostly cotton and would be a great transitional piece for spring and fall.",5,1,0,General,Tops,Fine gauge,Positive,73,0.0,46-55,5,Positive,Low,fit:Positive; quality:Positive; style:Positive; length:Positive; versatility:Positive,5
52,"Beautiful, elegant, quirky summer top","Every now and then a piece like this one comes along at retailer, and i quickly make the purchase without any regret.
without being stuffy or old, this top is simply elegant. the floral is very high-end designer (think italian made) for a fraction of the cost. made of 100% bamboo, it is light without being sheer. there is no need for a cami with this one. the fabric has the body of a good linen, but it doesn't wrinkle nearly as much. it does require dry cleaning, though, if this matters to you.",5,1,15,General Petite,Tops,Blouses,Positive,94,2.772588722239781,46-55,5,Positive,Low,quality:Positive; fit:Positive; design:Positive; price:Positive; fabric:Positive; care instructions:Negative,6
32,Super cute,Super cute skirt. i decided to return it because i felt like i did't have enough tops to go with it.,3,1,0,General Petite,Bottoms,Skirts,Neutral,21,0.0,26-35,4,Positive,Low,style:Positive; fit:Neutral; accessories:Negative,3
20,So comfortable,I absolutely love this product! it is so versatile and i can wear it up or dress it down. absolutely perfect paired with leggings to sit in classes all day :),5,1,0,Initmates,Intimate,Sleep,Positive,31,0.0,<=25,5,Positive,Low,versatility:Positive; fit:Positive,2
33,Comfy with great design,As someone that has many cardigans this one is one of my favs in my collection. i can dress it up or down. it is really soft and great quality. i only wish i had checked if it came in petite since the length is a little long.,5,1,0,General,Tops,Fine gauge,Positive,48,0.0,26-35,4,Positive,Low,quality:Positive; fit:Negative; length:Negative,3
30,Cute top,"I definitely agree with the other reviewers who said this top is better suited for someone tall and slender. the design on the lace is beautiful and i love the scalloped hem. but it is somewhat boxy and flowy, which didn't seem to work on my curvy body proportion-wise.",5,1,0,General,Tops,Blouses,Positive,49,0.0,26-35,3,Neutral,Low,fit:Negative; design:Positive; quality:Positive,3
40,Not for me but cute,These are a wonderful trouser style pant. i love fitted than flared denim so this fit isn't my top pick but it's a cute style! thick quality denim fabric with a medium rise cut.,3,1,0,General Petite,Bottoms,Jeans,Neutral,34,0.0,36-45,4,Positive,Low,fit:Neutral; style:Positive; quality:Positive; rise:Positive,4
32,,"Love this top! so soft, fits perfect.",5,1,1,General,Tops,Knits,Positive,7,0.6931471805599453,26-35,5,Positive,Low,fit:Positive; quality:Positive,2
27,New favorite,This jacket is perfect!! the denim mixed with the military style is such a good combo. it fits great and is very comfortable. the little ties in the back are a cute addition.,5,1,1,General Petite,Jackets,Jackets,Positive,33,0.6931471805599453,26-35,5,Positive,Low,style:Positive; fit:Positive; comfort:Positive; design details:Positive,4
38,Wish this worked for me...,"I absolutely fell in love with this dress when i saw it online, but unfortunately, it just didn't fit right. the bust and bodice not designed for curves, and the dress just didn't fit correctly, i think it would work better on very slim figures.",3,0,0,General Petite,Dresses,Dresses,Neutral,45,0.0,36-45,2,Negative,Medium,fit:Negative; sizing:Negative,2
53,Saundra tank,"The saundra tank is a very pretty and feminine knitted top. it is soft and comes in a very delicate pink color.
i took this on a recent trip and it paired well with capri tights and wedges. it was very comfortable to wear having a medium weight to it. the only issue that i had was that the cut below your arms is very deep and made it difficult to hide the side of your bra. it is a rather loose fit, so if you prefer something more form fitting, you might opt for a smaller size.",5,1,0,General,Tops,Sweaters,Positive,98,0.0,46-55,4,Positive,Medium,quality:Positive; color:Positive; fit:Negative; comfort:Positive; sizing:Negative,5
